tags,hasConnection,level1_tags,coded_tags,idauthor
"['D', 'H']","['p04655', 'p01404']","['D', 'H']",[0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],p00153
"['G', 'D']",['p00368'],"['G', 'D']",[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00155
"['C', 'D', 'O']",['p04588'],"['C', 'D', 'O']",[1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],p00157
"['J', 'C']","['p01585', 'p03037']","['E', 'L', 'D', 'M', 'J', 'C', 'G', 'Z']",[1 1 1 0 1 0 0 1 0 1 1 0 0 0 0 0 1],p00158
['G'],"['p05145', 'p05452', 'p04301', 'p02994']","['G', 'D', 'E', 'C']",[1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00159
"['D', 'O', 'P', 'H', 'I', 'J']","['p01918', 'p01754', 'p03085']","['E', 'K', 'L', 'D', 'O', 'P', 'H', 'I', 'J']",[0 1 1 0 0 1 1 1 1 1 0 0 1 1 0 0 0],p00161
"['D', 'O', 'Q', 'R', 'J', 'Z']","['p03298', 'p00500', 'p04722']","['D', 'O', 'Q', 'R', 'J', 'Z']",[0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1],p00163
"['H', 'J']","['p02939', 'p03945']","['H', 'J', 'I']",[0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0],p00164
"['L', 'D', 'C']","['p04433', 'p05690', 'p05138']","['L', 'D', 'C']",[1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],p00165
"['D', 'O', 'P', 'H', 'Q', 'J']","['p01145', 'p01712']","['E', 'K', 'L', 'D', 'O', 'P', 'F', 'N', 'H', 'I', 'Q', 'M', 'J', 'C', 'G', 'Z']",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1],p00170
['E'],"['p04551', 'p00527']",['E'],[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00171
"['E', 'L', 'D', 'H', 'M', 'J']","['p00346', 'p00226', 'p01508']","['E', 'K', 'L', 'D', 'H', 'I', 'R', 'M', 'J', 'C']",[1 1 1 0 0 1 1 1 1 1 1 0 0 0 0 1 0],p00175
['F'],['p01202'],"['F', 'L', 'J']",[0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0],p00177
['D'],"['p02257', 'p05533', 'p00138', 'p00626']","['K', 'D', 'I', 'J', 'C']",[1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0],p00180
"['G', 'E']","['p04273', 'p02230']","['G', 'F', 'E']",[0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],p00181
"['D', 'H', 'J']","['p00751', 'p03549', 'p01610']","['D', 'J', 'H']",[0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0],p00182
"['D', 'J', 'C']","['p04919', 'p04778']","['D', 'J', 'C']",[1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],p00186
"['D', 'C']","['p03894', 'p04927', 'p03603', 'p05579', 'p01405']","['D', 'C']",[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00187
"['E', 'L', 'D', 'F', 'N', 'H', 'R', 'M', 'J', 'C', 'G']","['p04261', 'p05197', 'p03984', 'p01504', 'p01978', 'p02276', 'p02005', 'p00204', 'p01946', 'p03445', 'p01965', 'p04108', 'p01058', 'p00828', 'p03533', 'p01691', 'p01363', 'p05059', 'p02992']","['E', 'L', 'D', 'O', 'F', 'N', 'H', 'I', 'Q', 'R', 'M', 'J', 'C', 'G']",[1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0],p00188
